9296	!	4
2800	!!	16
3008	!?	32
6422	%	2
4250	(	2
4249	)	2
3	,	27001
1495	-	3
15122	/	1
4338	0	1
2256	000	27
993	001	27
2697	002	27
977	003	27
1124	004	27
2125	005	27
1943	006	27
399	007	27
39	008	27
4621	009	27
5242	010	27
1186	011	27
6044	012	27
2882	013	27
4558	014	27
3659	015	27
3502	016	27
2001	017	27
2212	018	27
1514	019	27
1116	020	27
797	021	27
28	022	27
4649	023	27
2202	024	27
1095	025	27
3527	026	27
2695	027	27
2071	028	27
107	029	27
4127	030	27
2050	031	27
3078	032	27
3669	033	27
5169	034	27
1801	035	27
3832	036	27
2659	037	27
1346	038	27
2042	039	27
1502	040	27
1031	041	27
2397	042	27
1326	043	27
1895	044	27
1058	045	27
5070	046	27
363	047	27
3731	048	27
4194	049	27
1706	050	27
1850	051	27
1432	052	27
2132	053	27
1225	054	27
1454	055	27
2025	056	27
2410	057	27
6826	058	27
4136	059	27
4723	060	27
357	061	27
1980	062	27
2032	063	27
3640	064	27
3149	065	27
1735	066	27
655	067	27
2705	068	27
9748	069	27
2759	070	27
1374	071	27
673	072	27
1660	073	27
3100	074	27
4152	075	27
1256	076	27
199	077	27
1587	078	27
4310	079	27
1746	080	27
3350	081	27
2061	082	27
351	083	27
587	084	27
2395	085	27
707	086	27
590	087	27
421	088	27
1988	089	27
2538	090	27
2146	091	27
1230	092	27
1947	093	27
4491	094	27
141	095	27
3062	096	27
2399	097	27
2159	098	27
3449	099	27
29	1	3026
3743	10	8
609	100	30
1990	1000	3
11689	1001	3
7235	1002	3
6151	1003	3
2317	1004	3
10068	1005	3
9107	1006	3
5080	1007	3
10330	1008	3
6293	1009	3
721	101	30
239	1010	3
8422	1011	3
3458	1012	3
4406	1013	3
5535	1014	3
9286	1015	3
14401	1016	3
14002	1017	3
10365	1018	3
9585	1019	3
591	102	30
13628	1020	3
12635	1021	3
8703	1022	3
10779	1023	3
6197	1024	3
2078	1025	3
7412	1026	3
8473	1027	3
4057	1028	3
9342	1029	3
2696	103	30
12205	1030	3
12921	1031	3
12365	1032	3
1809	1033	3
5404	1034	3
9791	1035	3
7285	1036	3
10323	1037	3
9912	1038	3
6578	1039	3
1446	104	30
2624	1040	3
2438	1041	3
13223	1042	3
2834	1043	3
7001	1044	3
1984	1045	3
9681	1046	3
10623	1047	3
14759	1048	3
10481	1049	3
254	105	30
2541	1050	3
5163	1051	3
7494	1052	3
11604	1053	3
9576	1054	3
12376	1055	3
3823	1056	3
12719	1057	3
5540	1058	3
6026	1059	3
2940	106	30
4726	1060	3
6903	1061	3
12171	1062	3
5753	1063	3
2255	1064	3
3185	1065	3
5957	1066	3
6146	1067	3
931	1068	3
8172	1069	3
1978	107	30
10275	1070	3
8423	1071	3
9764	1072	3
5913	1073	3
3235	1074	3
5572	1075	3
2773	1076	3
9143	1077	3
3908	1078	3
5186	1079	3
1383	108	30
